fpr,tpr
0.006071,0.201613
0.006071,0.204973
0.006167,0.204973
0.006167,0.207661
0.006167,0.209677
0.006167,0.210349
0.006264,0.210349
0.006264,0.213038
0.006553,0.213038
0.006553,0.214382
0.006553,0.215054
0.006649,0.215054
0.006649,0.219086
0.006746,0.219086
0.006746,0.221774
0.006842,0.221774
0.006842,0.223790
0.006938,0.223790
0.006938,0.230511
0.007131,0.230511
0.007131,0.233199
0.007324,0.233199
0.007324,0.233871
0.007420,0.233871
0.007420,0.235887
0.007806,0.235887
0.007806,0.241935
0.007902,0.241935
0.007902,0.242608
0.007998,0.242608
0.007998,0.245296
0.008095,0.245296
0.008095,0.249328
0.008191,0.249328
0.008191,0.250672
0.008288,0.250672
0.008288,0.251344
0.008384,0.251344
0.008384,0.253360
0.008480,0.253360
0.008480,0.257392
0.008673,0.257392
0.008673,0.259409
0.008673,0.261425
0.008673,0.268817
0.008769,0.268817
0.008769,0.274866
0.008866,0.274866
0.008866,0.276210
0.008962,0.276210
0.008962,0.276882
0.009155,0.276882
0.009155,0.280242
0.009251,0.280242
0.009251,0.283602
0.009444,0.283602
0.009444,0.289651
0.009540,0.289651
0.009540,0.290995
0.009540,0.292339
0.009540,0.293683
0.009637,0.293683
0.009637,0.295699
0.009829,0.295699
0.009829,0.296371
0.009829,0.297715
0.009829,0.299731
0.010022,0.299731
0.010022,0.302419
0.010022,0.303763
0.010022,0.305108
0.010119,0.305108
0.010119,0.305780
0.010215,0.305780
0.010215,0.307124
0.010311,0.307124
0.010504,0.307124
0.010504,0.308468
0.010600,0.308468
0.010600,0.313844
0.010697,0.313844
0.010697,0.315188
0.010793,0.315188
0.010793,0.319220
0.010889,0.319220
0.010889,0.319892
0.010986,0.319892
0.010986,0.325269
0.011082,0.325269
0.011082,0.327957
0.011179,0.327957
0.011179,0.329301
0.011275,0.329301
0.011275,0.330645
0.011371,0.330645
0.011371,0.334677
0.011468,0.334677
0.011468,0.336694
0.011564,0.336694
0.011564,0.339382
0.011757,0.339382
0.011757,0.342742
0.011950,0.342742
0.012046,0.342742
0.012046,0.344758
0.012142,0.344758
0.012142,0.348790
0.012142,0.350134
0.012142,0.350806
0.012239,0.350806
0.012239,0.351478
0.012624,0.351478
0.012624,0.355511
0.012720,0.355511
0.012720,0.358871
0.012720,0.360215
0.012720,0.365591
0.012817,0.365591
0.012817,0.367608
0.012913,0.367608
0.013106,0.367608
0.013202,0.367608
0.013202,0.368280
0.013299,0.368280
0.013299,0.369624
0.013395,0.369624
0.013395,0.373656
0.013588,0.373656
0.013588,0.375000
0.013588,0.376344
0.013588,0.377016
0.013780,0.377016
0.013780,0.380376
0.013780,0.381720
0.014359,0.381720
0.014359,0.384409
0.014455,0.384409
0.014455,0.385081
0.014551,0.385081
0.014551,0.385753
0.014648,0.385753
0.014841,0.385753
0.014937,0.385753
0.014937,0.387769
0.015033,0.387769
0.015033,0.388441
0.015033,0.389785
0.015130,0.389785
0.015130,0.392473
0.015226,0.392473
0.015226,0.393817
0.015322,0.393817
0.015322,0.394489
0.015515,0.394489
0.015515,0.395161
0.015611,0.395161
0.015611,0.396505
0.015708,0.396505
0.015708,0.397177
0.015804,0.397177
0.015997,0.397177
0.015997,0.397849
0.016093,0.397849
0.016093,0.398522
0.016190,0.398522
0.016190,0.399194
0.016286,0.399194
0.016286,0.399866
0.016382,0.399866
0.016575,0.399866
0.016575,0.404570
0.016575,0.405914
0.016768,0.405914
0.016768,0.407930
0.016768,0.410618
0.016864,0.410618
0.016864,0.411290
0.016961,0.411290
0.016961,0.416667
0.017057,0.416667
0.017057,0.418011
0.017153,0.418011
0.017153,0.418683
0.017346,0.418683
0.017539,0.418683
0.018117,0.418683
0.018117,0.420699
0.018213,0.420699
0.018213,0.421371
0.018406,0.421371
0.018406,0.422715
0.018406,0.424059
0.018599,0.424059
0.018599,0.426747
0.018792,0.426747
0.018792,0.430108
0.018888,0.430108
0.018888,0.433468
0.018984,0.433468
0.018984,0.437500
0.019273,0.437500
0.019466,0.437500
0.019466,0.441532
0.019562,0.441532
0.019562,0.442876
0.019562,0.444892
0.019659,0.444892
0.019659,0.446909
0.019755,0.446909
0.019755,0.447581
0.019852,0.447581
0.019852,0.450269
0.019948,0.450269
0.019948,0.452957
0.020044,0.452957
0.020044,0.454301
0.020044,0.455645
0.020044,0.456317
0.020237,0.456317
0.020237,0.457661
0.020430,0.457661
0.020430,0.460349
0.020526,0.460349
0.020526,0.463038
0.020623,0.463038
0.020623,0.466398
0.020815,0.466398
0.020815,0.469086
0.020912,0.469086
0.020912,0.470430
0.020912,0.471102
0.021104,0.471102
0.021104,0.473118
0.021201,0.473118
0.021683,0.473118
0.021683,0.475806
0.021875,0.475806
0.021972,0.475806
0.021972,0.477151
0.022068,0.477151
0.022068,0.478495
0.022164,0.478495
0.022164,0.481183
0.022261,0.481183
0.022454,0.481183
0.022454,0.483199
0.022550,0.483199
0.022550,0.483871
0.022646,0.483871
0.022839,0.483871
0.022839,0.484543
0.022935,0.484543
0.022935,0.485215
0.023032,0.485215
0.023032,0.485887
0.023224,0.485887
0.023224,0.487231
0.023321,0.487231
0.023514,0.487231
0.023803,0.487231
0.023899,0.487231
0.023899,0.487903
0.023995,0.487903
0.023995,0.489919
0.024092,0.489919
0.024092,0.490591
0.024284,0.490591
0.024284,0.493280
0.024381,0.493280
0.024381,0.493952
0.024477,0.493952
0.024959,0.493952
0.024959,0.498656
0.025055,0.498656
0.025055,0.505376
0.025152,0.505376
0.025152,0.506048
0.025248,0.506048
0.025248,0.506720
0.025345,0.506720
0.025345,0.507392
0.025441,0.507392
0.025441,0.509409
0.025537,0.509409
0.025826,0.509409
0.025826,0.511425
0.025923,0.511425
0.025923,0.513441
0.026019,0.513441
0.026019,0.514785
0.026212,0.514785
0.026212,0.516129
0.026212,0.517473
0.026212,0.518817
0.026308,0.518817
0.026308,0.521505
0.026597,0.521505
0.026790,0.521505
0.026790,0.522177
0.027368,0.522177
0.027368,0.526882
0.028525,0.526882
0.028525,0.532258
0.028717,0.532258
0.028717,0.534946
0.028814,0.534946
0.028814,0.536290
0.028910,0.536290
0.029103,0.536290
0.029103,0.537634
0.029199,0.537634
0.029199,0.538306
0.029296,0.538306
0.029296,0.545699
0.029585,0.545699
0.029585,0.547043
0.029585,0.548387
0.029585,0.549059
0.029681,0.549059
0.029681,0.549731
0.029874,0.549731
0.030163,0.549731
0.030163,0.550403
0.030356,0.550403
0.030548,0.550403
0.030548,0.552419
0.030645,0.552419
0.030645,0.553091
0.030837,0.553091
0.031030,0.553091
0.031416,0.553091
0.031416,0.553763
0.031512,0.553763
0.031512,0.554435
0.031608,0.554435
0.031608,0.555108
0.031801,0.555108
0.031994,0.555108
0.031994,0.556452
0.032379,0.556452
0.032379,0.559812
0.032476,0.559812
0.032668,0.559812
0.032861,0.559812
0.033247,0.559812
0.033247,0.560484
